"Instruction_Set","Instruction","Opcode","Operand_1","Operand_2","Bytes_Cycles","Flags_Z_N_H_C","Hex","Binary","Binary_Split","Binary_Prefix","Binary_Split1","Binary_Split2","Binary_Split3"
"Extended","SET 5,E","SET","5","E","2  8","- - - -","CBEB","1100101111101011","11001011 11 101 011","11001011","11","101","011"
"Extended","SET 5,H","SET","5","H","2  8","- - - -","CBEC","1100101111101100","11001011 11 101 100","11001011","11","101","100"
"Extended","SET 5,L","SET","5","L","2  8","- - - -","CBED","1100101111101101","11001011 11 101 101","11001011","11","101","101"
"Extended","SET 5,(HL)","SET","5","(HL)","2  16","- - - -","CBEE","1100101111101110","11001011 11 101 110","11001011","11","101","110"
"Extended","SET 5,A","SET","5","A","2  8","- - - -","CBEF","1100101111101111","11001011 11 101 111","11001011","11","101","111"
"Extended","SET 6,B","SET","6","B","2  8","- - - -","CBF0","1100101111110000","11001011 11 110 000","11001011","11","110","000"
"Extended","SET 6,C","SET","6","C","2  8","- - - -","CBF1","1100101111110001","11001011 11 110 001","11001011","11","110","001"
"Extended","SET 6,D","SET","6","D","2  8","- - - -","CBF2","1100101111110010","11001011 11 110 010","11001011","11","110","010"
"Extended","SET 6,E","SET","6","E","2  8","- - - -","CBF3","1100101111110011","11001011 11 110 011","11001011","11","110","011"
"Extended","SET 6,H","SET","6","H","2  8","- - - -","CBF4","1100101111110100","11001011 11 110 100","11001011","11","110","100"
"Extended","SET 6,L","SET","6","L","2  8","- - - -","CBF5","1100101111110101","11001011 11 110 101","11001011","11","110","101"
"Extended","SET 6,(HL)","SET","6","(HL)","2  16","- - - -","CBF6","1100101111110110","11001011 11 110 110","11001011","11","110","110"
"Extended","SET 6,A","SET","6","A","2  8","- - - -","CBF7","1100101111110111","11001011 11 110 111","11001011","11","110","111"
"Extended","SET 7,B","SET","7","B","2  8","- - - -","CBF8","1100101111111000","11001011 11 111 000","11001011","11","111","000"
"Extended","SET 7,C","SET","7","C","2  8","- - - -","CBF9","1100101111111001","11001011 11 111 001","11001011","11","111","001"
"Extended","SET 7,D","SET","7","D","2  8","- - - -","CBFA","1100101111111010","11001011 11 111 010","11001011","11","111","010"
"Extended","SET 7,E","SET","7","E","2  8","- - - -","CBFB","1100101111111011","11001011 11 111 011","11001011","11","111","011"
"Extended","SET 7,H","SET","7","H","2  8","- - - -","CBFC","1100101111111100","11001011 11 111 100","11001011","11","111","100"
"Extended","SET 7,L","SET","7","L","2  8","- - - -","CBFD","1100101111111101","11001011 11 111 101","11001011","11","111","101"
"Extended","SET 7,(HL)","SET","7","(HL)","2  16","- - - -","CBFE","1100101111111110","11001011 11 111 110","11001011","11","111","110"
"Extended","SET 7,A","SET","7","A","2  8","- - - -","CBFF","1100101111111111","11001011 11 111 111","11001011","11","111","111"
