"Instruction_Set","Instruction","Opcode","Operand_1","Operand_2","Bytes_Cycles","Flags_Z_N_H_C","Hex","Binary","Binary_Split","Binary_Prefix","Binary_Split1","Binary_Split2","Binary_Split3"
"Base","LD C,(HL)","LD","C","(HL)","1  8","- - - -","4E","01001110","01 001 110","","01","001","110"
"Base","LD C,A","LD","C","A","1  4","- - - -","4F","01001111","01 001 111","","01","001","111"
"Base","LD D,B","LD","D","B","1  4","- - - -","50","01010000","01 010 000","","01","010","000"
"Base","LD D,C","LD","D","C","1  4","- - - -","51","01010001","01 010 001","","01","010","001"
"Base","LD D,D","LD","D","D","1  4","- - - -","52","01010010","01 010 010","","01","010","010"
"Base","LD D,E","LD","D","E","1  4","- - - -","53","01010011","01 010 011","","01","010","011"
"Base","LD D,H","LD","D","H","1  4","- - - -","54","01010100","01 010 100","","01","010","100"
"Base","LD D,L","LD","D","L","1  4","- - - -","55","01010101","01 010 101","","01","010","101"
"Base","LD D,(HL)","LD","D","(HL)","1  8","- - - -","56","01010110","01 010 110","","01","010","110"
"Base","LD D,A","LD","D","A","1  4","- - - -","57","01010111","01 010 111","","01","010","111"
"Base","LD E,B","LD","E","B","1  4","- - - -","58","01011000","01 011 000","","01","011","000"
"Base","LD E,C","LD","E","C","1  4","- - - -","59","01011001","01 011 001","","01","011","001"
"Base","LD E,D","LD","E","D","1  4","- - - -","5A","01011010","01 011 010","","01","011","010"
"Base","LD E,E","LD","E","E","1  4","- - - -","5B","01011011","01 011 011","","01","011","011"
"Base","LD E,H","LD","E","H","1  4","- - - -","5C","01011100","01 011 100","","01","011","100"
"Base","LD E,L","LD","E","L","1  4","- - - -","5D","01011101","01 011 101","","01","011","101"
"Base","LD E,(HL)","LD","E","(HL)","1  8","- - - -","5E","01011110","01 011 110","","01","011","110"
"Base","LD E,A","LD","E","A","1  4","- - - -","5F","01011111","01 011 111","","01","011","111"
"Base","LD H,B","LD","H","B","1  4","- - - -","60","01100000","01 100 000","","01","100","000"
"Base","LD H,C","LD","H","C","1  4","- - - -","61","01100001","01 100 001","","01","100","001"
"Base","LD H,D","LD","H","D","1  4","- - - -","62","01100010","01 100 010","","01","100","010"
"Base","LD H,E","LD","H","E","1  4","- - - -","63","01100011","01 100 011","","01","100","011"
"Base","LD H,H","LD","H","H","1  4","- - - -","64","01100100","01 100 100","","01","100","100"
"Base","LD H,L","LD","H","L","1  4","- - - -","65","01100101","01 100 101","","01","100","101"
"Base","LD H,(HL)","LD","H","(HL)","1  8","- - - -","66","01100110","01 100 110","","01","100","110"
"Base","LD H,A","LD","H","A","1  4","- - - -","67","01100111","01 100 111","","01","100","111"
"Base","LD L,B","LD","L","B","1  4","- - - -","68","01101000","01 101 000","","01","101","000"
"Base","LD L,C","LD","L","C","1  4","- - - -","69","01101001","01 101 001","","01","101","001"
"Base","LD L,D","LD","L","D","1  4","- - - -","6A","01101010","01 101 010","","01","101","010"
"Base","LD L,E","LD","L","E","1  4","- - - -","6B","01101011","01 101 011","","01","101","011"
"Base","LD L,H","LD","L","H","1  4","- - - -","6C","01101100","01 101 100","","01","101","100"
"Base","LD L,L","LD","L","L","1  4","- - - -","6D","01101101","01 101 101","","01","101","101"
"Base","LD L,(HL)","LD","L","(HL)","1  8","- - - -","6E","01101110","01 101 110","","01","101","110"
"Base","LD L,A","LD","L","A","1  4","- - - -","6F","01101111","01 101 111","","01","101","111"
"Base","LD (HL),B","LD","(HL)","B","1  8","- - - -","70","01110000","01 110 000","","01","110","000"
"Base","LD (HL),C","LD","(HL)","C","1  8","- - - -","71","01110001","01 110 001","","01","110","001"
"Base","LD (HL),D","LD","(HL)","D","1  8","- - - -","72","01110010","01 110 010","","01","110","010"
"Base","LD (HL),E","LD","(HL)","E","1  8","- - - -","73","01110011","01 110 011","","01","110","011"
"Base","LD (HL),H","LD","(HL)","H","1  8","- - - -","74","01110100","01 110 100","","01","110","100"
"Base","LD (HL),L","LD","(HL)","L","1  8","- - - -","75","01110101","01 110 101","","01","110","101"
"Base","HALT","HALT","","","1  4","- - - -","76","01110110","01 110 110","","01","110","110"
"Base","LD (HL),A","LD","(HL)","A","1  8","- - - -","77","01110111","01 110 111","","01","110","111"
"Base","LD A,B","LD","A","B","1  4","- - - -","78","01111000","01 111 000","","01","111","000"
"Base","LD A,C","LD","A","C","1  4","- - - -","79","01111001","01 111 001","","01","111","001"
"Base","LD A,D","LD","A","D","1  4","- - - -","7A","01111010","01 111 010","","01","111","010"
"Base","LD A,E","LD","A","E","1  4","- - - -","7B","01111011","01 111 011","","01","111","011"
"Base","LD A,H","LD","A","H","1  4","- - - -","7C","01111100","01 111 100","","01","111","100"
"Base","LD A,L","LD","A","L","1  4","- - - -","7D","01111101","01 111 101","","01","111","101"
"Base","LD A,(HL)","LD","A","(HL)","1  8","- - - -","7E","01111110","01 111 110","","01","111","110"
"Base","LD A,A","LD","A","A","1  4","- - - -","7F","01111111","01 111 111","","01","111","111"
"Base","ADD A,B","ADD","A","B","1  4","Z 0 H C","80","10000000","10 000 000","","10","000","000"
"Base","ADD A,C","ADD","A","C","1  4","Z 0 H C","81","10000001","10 000 001","","10","000","001"
"Base","ADD A,D","ADD","A","D","1  4","Z 0 H C","82","10000010","10 000 010","","10","000","010"
"Base","ADD A,E","ADD","A","E","1  4","Z 0 H C","83","10000011","10 000 011","","10","000","011"
"Base","ADD A,H","ADD","A","H","1  4","Z 0 H C","84","10000100","10 000 100","","10","000","100"
"Base","ADD A,L","ADD","A","L","1  4","Z 0 H C","85","10000101","10 000 101","","10","000","101"
"Base","ADD A,(HL)","ADD","A","(HL)","1  8","Z 0 H C","86","10000110","10 000 110","","10","000","110"
"Base","ADD A,A","ADD","A","A","1  4","Z 0 H C","87","10000111","10 000 111","","10","000","111"
"Base","ADC A,B","ADC","A","B","1  4","Z 0 H C","88","10001000","10 001 000","","10","001","000"
"Base","ADC A,C","ADC","A","C","1  4","Z 0 H C","89","10001001","10 001 001","","10","001","001"
"Base","ADC A,D","ADC","A","D","1  4","Z 0 H C","8A","10001010","10 001 010","","10","001","010"
"Base","ADC A,E","ADC","A","E","1  4","Z 0 H C","8B","10001011","10 001 011","","10","001","011"
"Base","ADC A,H","ADC","A","H","1  4","Z 0 H C","8C","10001100","10 001 100","","10","001","100"
"Base","ADC A,L","ADC","A","L","1  4","Z 0 H C","8D","10001101","10 001 101","","10","001","101"
"Base","ADC A,(HL)","ADC","A","(HL)","1  8","Z 0 H C","8E","10001110","10 001 110","","10","001","110"
"Base","ADC A,A","ADC","A","A","1  4","Z 0 H C","8F","10001111","10 001 111","","10","001","111"
"Base","SUB B","SUB","B","","1  4","Z 1 H C","90","10010000","10 010 000","","10","010","000"
"Base","SUB C","SUB","C","","1  4","Z 1 H C","91","10010001","10 010 001","","10","010","001"
"Base","SUB D","SUB","D","","1  4","Z 1 H C","92","10010010","10 010 010","","10","010","010"
"Base","SUB E","SUB","E","","1  4","Z 1 H C","93","10010011","10 010 011","","10","010","011"
"Base","SUB H","SUB","H","","1  4","Z 1 H C","94","10010100","10 010 100","","10","010","100"
"Base","SUB L","SUB","L","","1  4","Z 1 H C","95","10010101","10 010 101","","10","010","101"
"Base","SUB (HL)","SUB","(HL)","","1  8","Z 1 H C","96","10010110","10 010 110","","10","010","110"
"Base","SUB A","SUB","A","","1  4","Z 1 H C","97","10010111","10 010 111","","10","010","111"
"Base","SBC A,B","SBC","A","B","1  4","Z 1 H C","98","10011000","10 011 000","","10","011","000"
"Base","SBC A,C","SBC","A","C","1  4","Z 1 H C","99","10011001","10 011 001","","10","011","001"
"Base","SBC A,D","SBC","A","D","1  4","Z 1 H C","9A","10011010","10 011 010","","10","011","010"
"Base","SBC A,E","SBC","A","E","1  4","Z 1 H C","9B","10011011","10 011 011","","10","011","011"
"Base","SBC A,H","SBC","A","H","1  4","Z 1 H C","9C","10011100","10 011 100","","10","011","100"
"Base","SBC A,L","SBC","A","L","1  4","Z 1 H C","9D","10011101","10 011 101","","10","011","101"
"Base","SBC A,(HL)","SBC","A","(HL)","1  8","Z 1 H C","9E","10011110","10 011 110","","10","011","110"
"Base","SBC A,A","SBC","A","A","1  4","Z 1 H C","9F","10011111","10 011 111","","10","011","111"
"Base","AND B","AND","B","","1  4","Z 0 1 0","A0","10100000","10 100 000","","10","100","000"
"Base","AND C","AND","C","","1  4","Z 0 1 0","A1","10100001","10 100 001","","10","100","001"
"Base","AND D","AND","D","","1  4","Z 0 1 0","A2","10100010","10 100 010","","10","100","010"
"Base","AND E","AND","E","","1  4","Z 0 1 0","A3","10100011","10 100 011","","10","100","011"
"Base","AND H","AND","H","","1  4","Z 0 1 0","A4","10100100","10 100 100","","10","100","100"
"Base","AND L","AND","L","","1  4","Z 0 1 0","A5","10100101","10 100 101","","10","100","101"
"Base","AND (HL)","AND","(HL)","","1  8","Z 0 1 0","A6","10100110","10 100 110","","10","100","110"
"Base","AND A","AND","A","","1  4","Z 0 1 0","A7","10100111","10 100 111","","10","100","111"
"Base","XOR B","XOR","B","","1  4","Z 0 0 0","A8","10101000","10 101 000","","10","101","000"
"Base","XOR C","XOR","C","","1  4","Z 0 0 0","A9","10101001","10 101 001","","10","101","001"
"Base","XOR D","XOR","D","","1  4","Z 0 0 0","AA","10101010","10 101 010","","10","101","010"
"Base","XOR E","XOR","E","","1  4","Z 0 0 0","AB","10101011","10 101 011","","10","101","011"
"Base","XOR H","XOR","H","","1  4","Z 0 0 0","AC","10101100","10 101 100","","10","101","100"
"Base","XOR L","XOR","L","","1  4","Z 0 0 0","AD","10101101","10 101 101","","10","101","101"
"Base","XOR (HL)","XOR","(HL)","","1  8","Z 0 0 0","AE","10101110","10 101 110","","10","101","110"
"Base","XOR A","XOR","A","","1  4","Z 0 0 0","AF","10101111","10 101 111","","10","101","111"
"Base","OR B","OR","B","","1  4","Z 0 0 0","B0","10110000","10 110 000","","10","110","000"
"Base","OR C","OR","C","","1  4","Z 0 0 0","B1","10110001","10 110 001","","10","110","001"
"Base","OR D","OR","D","","1  4","Z 0 0 0","B2","10110010","10 110 010","","10","110","010"
"Base","OR E","OR","E","","1  4","Z 0 0 0","B3","10110011","10 110 011","","10","110","011"
"Base","OR H","OR","H","","1  4","Z 0 0 0","B4","10110100","10 110 100","","10","110","100"
"Base","OR L","OR","L","","1  4","Z 0 0 0","B5","10110101","10 110 101","","10","110","101"
"Base","OR (HL)","OR","(HL)","","1  8","Z 0 0 0","B6","10110110","10 110 110","","10","110","110"
"Base","OR A","OR","A","","1  4","Z 0 0 0","B7","10110111","10 110 111","","10","110","111"
"Base","CP B","CP","B","","1  4","Z 1 H C","B8","10111000","10 111 000","","10","111","000"
"Base","CP C","CP","C","","1  4","Z 1 H C","B9","10111001","10 111 001","","10","111","001"
"Base","CP D","CP","D","","1  4","Z 1 H C","BA","10111010","10 111 010","","10","111","010"
"Base","CP E","CP","E","","1  4","Z 1 H C","BB","10111011","10 111 011","","10","111","011"
"Base","CP H","CP","H","","1  4","Z 1 H C","BC","10111100","10 111 100","","10","111","100"
"Base","CP L","CP","L","","1  4","Z 1 H C","BD","10111101","10 111 101","","10","111","101"
"Base","CP (HL)","CP","(HL)","","1  8","Z 1 H C","BE","10111110","10 111 110","","10","111","110"
"Base","CP A","CP","A","","1  4","Z 1 H C","BF","10111111","10 111 111","","10","111","111"
"Base","RET NZ","RET","NZ","","1  20/8","- - - -","C0","11000000","11 000 000","","11","000","000"
"Base","POP BC","POP","BC","","1  12","- - - -","C1","11000001","11 000 001","","11","000","001"
"Base","JP NZ,a16","JP","NZ","a16","3  16/12","- - - -","C2","11000010","11 000 010","","11","000","010"
"Base","JP a16","JP","a16","","3  16","- - - -","C3","11000011","11 000 011","","11","000","011"
"Base","CALL NZ,a16","CALL","NZ","a16","3  24/12","- - - -","C4","11000100","11 000 100","","11","000","100"
"Base","PUSH BC","PUSH","BC","","1  16","- - - -","C5","11000101","11 000 101","","11","000","101"
"Base","ADD A,d8","ADD","A","d8","2  8","Z 0 H C","C6","11000110","11 000 110","","11","000","110"
"Base","RST 00H","RST","00H","","1  16","- - - -","C7","11000111","11 000 111","","11","000","111"
"Base","RET Z","RET","Z","","1  20/8","- - - -","C8","11001000","11 001 000","","11","001","000"
"Base","RET","RET","","","1  16","- - - -","C9","11001001","11 001 001","","11","001","001"
"Base","JP Z,a16","JP","Z","a16","3  16/12","- - - -","CA","11001010","11 001 010","","11","001","010"
"Base","PREFIX CB","","","","1  4","- - - -","CB","11001011","11 001 011","","11","001","011"
"Base","CALL Z,a16","CALL","Z","a16","3  24/12","- - - -","CC","11001100","11 001 100","","11","001","100"
"Base","CALL a16","CALL","a16","","3  24","- - - -","CD","11001101","11 001 101","","11","001","101"
"Base","ADC A,d8","ADC","A","d8","2  8","Z 0 H C","CE","11001110","11 001 110","","11","001","110"
"Base","RST 08H","RST","08H","","1  16","- - - -","CF","11001111","11 001 111","","11","001","111"
"Base","RET NC","RET","NC","","1  20/8","- - - -","D0","11010000","11 010 000","","11","010","000"
"Base","POP DE","POP","DE","","1  12","- - - -","D1","11010001","11 010 001","","11","010","001"
